group,identity,data_sha256
ターゲット群 (星形成銀河),spec-1307-52999-279,e85ec49264ac62ae9600583ce39e87280eb7b2d0c28c8ef8b89b7b4ff3a83ce3
ターゲット群 (星形成銀河),spec-1427-52996-368,fbfa6735f785144f4f4110ef1e2312917c078481601f1dfbabdcbc77341e14e6
ターゲット群 (星形成銀河),spec-1448-53120-121,f9bf265eb50e68b81f3fee4ea0a692cf96ccc0a4ac76712e0c02e9531dedf1b4
ターゲット群 (星形成銀河),spec-1762-53415-422,71ecc7a215d65c8ad9127c1a7a56f0182f081e8290078a0765bc659034dd2dfb
ターゲット群 (星形成銀河),spec-1762-53415-525,1e5948d1c40394e84cbd522bf11fdff9569fb6f01bde5ba23c928d5ce45f2698
ターゲット群 (星形成銀河),spec-1819-54540-623,9a02676596e21130423915bf7a3e19c57a60332146cd021d73d798994d1deaa2
ターゲット群 (星形成銀河),spec-1878-54474-478,2a97525a125382f37d2c7fa490995f62a4fb4a1efbad6476455bf86b9e0c97ba
ターゲット群 (星形成銀河),spec-1936-53330-253,c163653a67fa80ffaf0d005ec0dad80435db39e52e50ffb45d206f38ddb464e8
ターゲット群 (星形成銀河),spec-1936-53330-510,143832920604b4f94de44725206c35e1c992b9301a00787cf29a4a450b76c957
ターゲット群 (星形成銀河),spec-1995-53415-251,12e02731c27b6b949fff2f91f694604ace7a928fe53f7fe1f1c4f4c6d87509e9
ターゲット群 (星形成銀河),spec-2009-53904-49,6893559438c2d57f71adbda15c9ef42ffe01413f3ae30dfb3bffe3c1c19f440a
ターゲット群 (星形成銀河),spec-2035-53436-42,85688cd77b805bc8f3f725c1e8c4b33f3f29447123d3fc6cf46cbafa8f7cf5db
ターゲット群 (星形成銀河),spec-2035-53436-497,bfa3bd1400db0365ac3abc830484570e49dd86f339f15aab7a5051319e79f801
ターゲット群 (星形成銀河),spec-2100-53713-377,4062b91688fd5babec5185c4a7cf0a1f15a7344172ef27c89176e68e0bae0a85
ターゲット群 (星形成銀河),spec-2238-54205-33,8a131d73b0fc8f55bdf3d761bafcfb24840eada1d82c6ac6ef6a79259eaf8adf
ターゲット群 (星形成銀河),spec-2239-53726-92,32377f53a65f708d70e073031ad3cf8af7940cc47cde3b6ac5a9680f16bef3c5
ターゲット群 (星形成銀河),spec-2275-53709-376,b814ce54a51958dc44f38f8b847c3882ae87da69e328689c0dc64043821f8e16
ターゲット群 (星形成銀河),spec-2279-53708-472,0e45da9c1b25cd436d2dcc51a3f09b8b644a1749c05572a8aa5c9bf5aa4c86d4
ターゲット群 (星形成銀河),spec-2343-53735-386,2de662c3085c448c1089f5aa89aa6788ea2bb930325f307cd155d1af4900b1ae
ターゲット群 (星形成銀河),spec-2347-53757-317,061374363a49b087d26b3cf0f7e3ea85f42dd9af206a50f469b411e195a2c565
ターゲット群 (星形成銀河),spec-2355-53792-503,f074c3d0098415c06a37f059d866414b5e96d1a5a7d1ce5c60f3ab08b0387361
ターゲット群 (星形成銀河),spec-2358-53797-376,853ab2c6a8c5faab6f9a18a7e10d8cb32477b17e3e6d959f162a537c2bce1e73
ターゲット群 (星形成銀河),spec-2367-53763-265,4ff3af1e26bdbcc1e72d1b1f33d82e6fa975251444f04a746f2038cce0a9ec1e
ターゲット群 (星形成銀河),spec-2483-53852-106,45f84f7214cf79b85b3bb8ac19a5edb58fd2d098a85dfea3d2e97ba20c4fa487
ターゲット群 (星形成銀河),spec-2486-53876-388,079ef7776b3ac000f021221d7d381dce23e5c7a89b1f28383a8f7c5ec97191de
ターゲット群 (星形成銀河),spec-2488-54149-551,b4d87ba41eb548c949ecaf5c743a7afd9d546d99f82b605f7d2c55da8899383b
ターゲット群 (星形成銀河),spec-2507-53876-43,10f4602af887b3482857f62f4df5ba057d2a145ac3cf82d3a2b53b318e59fc75
ターゲット群 (星形成銀河),spec-2512-53877-390,3cbf8bd03ed63b69539b3d669e7ae7d0e6bfb55f20df04795ec70b4cfbd74b81
ターゲット群 (星形成銀河),spec-2513-54141-241,f7cc6f8c9992359db4ea9c047530b064609260b9daa8df816eca93fe9678889e
ターゲット群 (星形成銀河),spec-2609-54476-360,1a61f835caef59a51725767e432726566dcfc8fc5f90a31a691027899685ab44
ターゲット群 (星形成銀河),spec-2656-54484-577,f06a0b91f41a954c81fef4205375f3024f0f92e7839c8f124b9a5f82dc7d0abd
ターゲット群 (星形成銀河),spec-2885-54497-539,e19d1bfbe48863ec15f959ec99f7645996555714707a6b7b46806568aae996e4
ターゲット群 (星形成銀河),spec-4097-55506-44,cdfee05218d2e8bbd10683a9677ceb2b1d724f97a1049ff61aa5f990b27476aa
ターゲット群 (星形成銀河),spec-4653-55622-326,1c98b2fcd72deedaae67acec2750ab30a8bea8e0a0d3f98b8788ac596dc0cb15
ターゲット群 (星形成銀河),spec-5361-55973-630,c735e86ef0bd7367f60f4fe4185a987b423f13da854b2b106538b26c0b91ead5
ターゲット群 (星形成銀河),spec-5389-55953-908,aba3abfd3811c2b0c341433d6bc6727c220e7759f4a74b1d39a373bcd9ab96fd
ターゲット群 (星形成銀河),spec-5969-56069-172,d45305a95931c510815092a9404379f069c5a9008f207c2eb6cefaeb9226a945
ターゲット群 (星形成銀河),spec-272-51941-535,8ed55c73e80177e11bac2bd99c506f0d318f6821886e09a1deebe7be9d58accd
ターゲット群 (星形成銀河),spec-272-51941-542,533f755ecaa24c6f1936ef5f6b444f47508d4f5067e98ea7387e3c9a0ba4b0a7
ターゲット群 (星形成銀河),spec-272-51941-602,b455f8363ad09dc1136bd2c137ae1632e47cf00e8282f0f053fcb48a0dd1c4ad
ターゲット群 (星形成銀河),spec-298-51955-597,d88854db89d462aeb76f25c10aa24afcd1bb5fba572504dc0d783e140b6941d4
ターゲット群 (星形成銀河),spec-327-52294-40,c0483968ae005e29a44f0aaed2a0052832c49ee51cef17c0e015def568ffe9c2
ターゲット群 (星形成銀河),spec-349-51699-465,513ce7306b3639f6ad652c566dd5043d072fc8d82307e6df44513c6199a38ebf
ターゲット群 (星形成銀河),spec-409-51871-93,79dbd5a08cdd0b569e67055218ff11610ba32d62e8667bb4fa14c929aa81547d
ターゲット群 (星形成銀河),spec-409-51871-157,fda3eb42ce3ae585d7fa6f1c41172db8f199c933f19159d30ab176666332f977
ターゲット群 (星形成銀河),spec-409-51871-166,f6c77b35e27592b3e208cfc1b91f30c066b989790de1a10a48d101f5e157c33f
ターゲット群 (星形成銀河),spec-414-51869-172,cab46d9353ba8d7111e3a3a8c8de3971910e3c84524a74107fa7f13c502053cb
ターゲット群 (星形成銀河),spec-425-51898-477,abec7336744f3b631a22673f2664b85859d276742fa693dfb896b1a0f9473888
ターゲット群 (星形成銀河),spec-428-51883-636,ecb4ad1f1008f24e5d936b7a34615ed53a10aacc0d38ea73f31efdf2f7e8414d
ターゲット群 (星形成銀河),spec-438-51884-141,438e5cd536bf55f990ea05f3a1d76093c60e20e93e88f47e673cd119b618756b
ターゲット群 (星形成銀河),spec-455-51909-425,df3970c76ba836ec4e316447fe59a08890c9e107dc3d16695db4fe6ce949163b
ターゲット群 (星形成銀河),spec-477-52026-59,764c38f278071d25295549e02c7596c1ea6b66e4d5349090fdeb0cff2f57d640
ターゲット群 (星形成銀河),spec-490-51929-394,a79fb69663ecc09bc1e5bc8e7394c016f95e1ed2a7859b66374129e93ebc90c5
ターゲット群 (星形成銀河),spec-502-51957-208,bf88cdc78e25997fe2e516dd7af26b2f793b4cc7da601ef4694f1acf933fd544
ターゲット群 (星形成銀河),spec-502-51957-467,8f304fa15667f3d6f7084c453bd2d17a681b0d8460f2b205800861d65c2f5758
ターゲット群 (星形成銀河),spec-506-52022-535,e20beb5283dc6caec158d8b0c04677b5183c93ff5fa5c9cc26833dea888c8e6a
ターゲット群 (星形成銀河),spec-517-52024-431,3eb3f0bf2db7253a69fdec1d63bd31d15ecad4b700b03d74a6a8cf5619b3757e
ターゲット群 (星形成銀河),spec-524-52027-148,bb2845fe86190d91c67b56a11ecb79238d8970b03bdcd3263aeafc58572a9add
ターゲット群 (星形成銀河),spec-571-52286-245,3fc9cd512ac1e34b21aae9bcd09cf5dcd76cff9fba32f3fce9d943c12002f97a
ターゲット群 (星形成銀河),spec-603-52056-129,f1cfa22e6cf7ebefa80293cfae623e4660b9261df6110970fec8d1b3ee966e8c
ターゲット群 (星形成銀河),spec-827-52312-461,102ae7c36c00f5544009007f287f317f735bb3971d24d4de868fb000244ddc0a
ターゲット群 (星形成銀河),spec-837-52642-203,059a105e265fd7aa9cd91324044c04191218f8c00167c1a6f5e8b78ba98660a6
ターゲット群 (星形成銀河),spec-859-52317-129,cbb740e6cd74f44e1a9e231916edb8f641589556619996eced993ab88b72735e
ターゲット群 (星形成銀河),spec-859-52317-436,3a36180f8f0cf0f9275d3a50dd5beeb68b3bac5ebcb21569583559f115b51195
ターゲット群 (星形成銀河),spec-877-52353-498,147ab417b5221252352531eff4d0950016f2dd0f0fd29a546e1874126958e909
ターゲット群 (星形成銀河),spec-891-52584-632,f425823b890c0e16699c7cd5d2a4c3c2f4485b64b8259707235e43f3f1d1f570
ターゲット群 (星形成銀河),spec-892-52378-409,8d17556f2ff8025313234d885faa0de35106ed261f0d4b83dc0afb7fdf0de428
ターゲット群 (星形成銀河),spec-1001-52670-595,e41ff2add62bed6f6fb0555845bafad81e73b76ee4fad77f708c642acff408ba
ターゲット群 (星形成銀河),spec-1226-52734-639,7052811bfae6feefe3673eaca9a131449c923cbf6911d6e8753eba5e6457dec6
ターゲット群 (星形成銀河),spec-1276-53035-199,18386c007292c6d69826d5b4cd7256896517ad6e96628863e96aa917e3b057a4
ターゲット群 (星形成銀河),spec-1357-53034-276,c871049429acd6b24023b11af86148a63cf8fcf9669ab4930c865438d858cbb5
ターゲット群 (星形成銀河),spec-1420-53146-480,273af2effb01f43338af8ab54694ced2eda2cdd0d77021cc396fdaab063e38c2
ターゲット群 (星形成銀河),spec-1427-52996-114,f7a462c74437498952c765ed05def14d69397dbb3e5f40b9f85bbf7d661ea2b4
ターゲット群 (星形成銀河),spec-1427-52996-274,8bee88337a6c9fb3e0374a83bfc8fd507f6ca9f034407bbd6b9eb8ddfe19db3c
ターゲット群 (星形成銀河),spec-1592-52990-175,5bdcaba264274d4c0f4dc24de57c4b6d1f654cb1c0c53286afdca6e33b985b76
ターゲット群 (星形成銀河),spec-1592-52990-422,9dbc3bfe25dd5a9c15c11a56979567064fb70fa39b52e4972ff31a87cc0fdbf4
ターゲット群 (星形成銀河),spec-1592-52990-508,f922accad72fc7d63a81302f7736127007ccf3a4494892ee91d5c5a970dcd14e
ターゲット群 (星形成銀河),spec-1601-53115-225,2a1833f2db8bceb8f5708a829ed76b67e935e84d36fadf1497bb824abf8c9aaf
ターゲット群 (星形成銀河),spec-1602-53117-257,c01cf8a6a5bc5fa1ffb1e96c835ed58af33b90ffed4cfb4a6d771318d081a8a7
ターゲット群 (星形成銀河),spec-1620-53137-342,51fc94cfd779c528a45392f28981728de0cf4137fe1a8b381aa1024aa6c1e245
ターゲット群 (星形成銀河),spec-1643-53143-444,e8c71a9168ba47978a1ca06d17d031d9a96f7c63197da147af162fb2c843d5de
ターゲット群 (星形成銀河),spec-1654-53498-72,548466954e978cd959942a6eda91729814afdd55c40255e0f3d4cda12ea02457
ターゲット群 (星形成銀河),spec-1698-53146-595,dd0d1fc45d1f004aa1435922dc2c54cb79278656802789200f1ad10c3fee1f08
ターゲット群 (星形成銀河),spec-1699-53148-173,1b7d5fb748900cb25e90dd873ebbc37d0fa397eaa9fdb0cef858db2c92990a78
ターゲット群 (星形成銀河),spec-1699-53148-493,9f1e1c206c9e69642d6c3496a07379d34744720b69a7a446b21eb3b848f34fb4
ターゲット群 (星形成銀河),spec-1704-53178-475,086774ee4f6ba400df2c127f76de9a15dd031e505798781a7e5a0f80a8673824
ターゲット群 (星形成銀河),spec-1719-53876-396,a93cd272281fcc916952b4b2f8a43f65bd66da820ae4c1828ff06a55bbc13cef
ターゲット群 (星形成銀河),spec-1771-53498-616,9e71f55190f264ad5f8c2de21b0aea6a979da509e3742496146fa51cdffe6b9c
ターゲット群 (星形成銀河),spec-1773-53112-516,a5ead942f915b0a8277a07e26cc03045e1a411ab376f688694c7003c96ecde78
ターゲット群 (星形成銀河),spec-1791-54266-604,e312372f6f0cdf5545c043222168011bd06d224314e72a8bd3f81abc5b5695a6
ターゲット群 (星形成銀河),spec-1795-54507-80,58023d29112c61e6caf64c7421f865afee2c193f10a99023f507948665ad4cee
ターゲット群 (星形成銀河),spec-1801-54156-346,13b5c4b20661439549a3edc927c6b08b1e9b43900e58fc6e1242b220ad603c3b
ターゲット群 (星形成銀河),spec-1801-54156-354,e33282128e57159141ceb326af37f3da6995cbe70005cc7d1db8de8b409622a1
ターゲット群 (星形成銀河),spec-1807-54175-402,efaaf60f2a8f6b2f4ba151f403004be679d0a923c65fc44504f62f1ece2f9555
ターゲット群 (星形成銀河),spec-1819-54540-238,b4fe39c5b35aabdca549078c68ac2aa11c88964d97689fe334f57884377f763a
ターゲット群 (星形成銀河),spec-1949-53433-484,eb0a5d56c28cd1f57be817343b87ebda7de2c76e624a50686ac23ca041b5dfa5
ターゲット群 (星形成銀河),spec-2015-53819-294,06ec664a865c50738627c0205a05b767786e13a2f591c30fdc6b1c6a4d8b383c
ターゲット群 (星形成銀河),spec-2095-53474-76,5748fcbc8800e18560cf2d30c2c16cad9fdcd0f2fdf198ef9b6aee9231bb1507
ターゲット群 (星形成銀河),spec-2152-53874-449,ff951ee3c0288efbc8143e4522480ea59ae1cd80608252566e6ba0d09f4916ee
ターゲット群 (星形成銀河),spec-2222-53799-627,257470c3a01eebcee1cf77f276fd6149ec6d310d83d5d7f3ba10a19b1b1a6048
ターゲット群 (星形成銀河),spec-2238-54205-305,7063a48daf4303f2ce71d2883de8816560369fa620d7aac8aba0fe7681b716a3
ターゲット群 (星形成銀河),spec-2238-54205-498,e7ff7ccdb7040d61823972e583dfd16ba16641d7148ee1136a35efac27c7fff6
ターゲット群 (星形成銀河),spec-2242-54153-188,b43cee7ca44e1e56cd235085669eb6e0b3969d4fca626cca39e42f01e5dbfc03
ターゲット群 (星形成銀河),spec-2243-53794-448,42b41dc527cdd96c44ab034a0d400c0e0fd50f0a2a63f2954d81472af77d5f26
ターゲット群 (星形成銀河),spec-2296-53735-301,cb61dc55263767186bee39f09ba5dc95143fb9c82fa41fa5326eff496d2b7bec
ターゲット群 (星形成銀河),spec-2355-53792-522,1033125a24901cb761bc3ba2cd3a8f1fa4c570f73e472ccc3a3b1f71c79aa046
ターゲット群 (星形成銀河),spec-2357-53793-375,c85bc04078adbb6a3379fe3ee456e815d572a0d825bf5694c4ce0ebdb7955881
ターゲット群 (星形成銀河),spec-2480-53851-476,05df8d48eeea2691f385632b53b1d2f6c281ac9365261fad2663b17c00bf29a5
ターゲット群 (星形成銀河),spec-2480-53851-590,33e2ff31564ef25ea93680f1ce149965674fc9331c8ba6c24345f351b5326569
ターゲット群 (星形成銀河),spec-2483-53852-311,4279a6d385a09ffc665a4e0b9d60b65399fe78d29641fc155dc3c32cd867611d
ターゲット群 (星形成銀河),spec-2503-53856-568,dd2cc022a7893c1ea4729aa4349f3e8529afd6337b6ea67b446fa0971db13054
ターゲット群 (星形成銀河),spec-2509-54180-584,1690f140c6fd1d940622979b7479ecff1a1b4aa6d7547f3cc69fc56f43e92a1f
ターゲット群 (星形成銀河),spec-349-51699-587,5f1a70c8f986975a479ab23f213d582aecc50e3ab54f09725c71db6743f3b61f
ターゲット群 (星形成銀河),spec-381-51811-218,6997976e2efc1574b1310edfaa7f147122528cf3bd1c44571b80e18ea3aa8925
ターゲット群 (星形成銀河),spec-413-51821-297,42515fb50be5bd5a8e4a583e9c206b340030757fef719398192dc9f7ad169e51
ターゲット群 (星形成銀河),spec-429-51820-87,cdb03d17f3085ad685e13a30e7a1f58c0af3a315358627794cc6022955afc156
ターゲット群 (星形成銀河),spec-501-52235-490,0b3837af09b0be484b46efce64975d87dedcb70f937812eb2881096b0883f5a0
ターゲット群 (星形成銀河),spec-514-51994-341,dac21167aeff0cda7fbb8aa16a98464b5610dbe1157c78622a77267f1d5c50ee
ターゲット群 (星形成銀河),spec-533-51994-401,ed8bab7a9991b06d99be287fe64e9eeeab44a0a0eaf1e5ef0a5754b4bc90df16
ターゲット群 (星形成銀河),spec-536-52024-562,5eb315b6ed9c024488fc8baa215d695addaf5608a04d332635fdb9a95cff71d6
ターゲット群 (星形成銀河),spec-541-51959-293,d2bd67bb5a34e75de0dd6404ff2efd019379eae96a14a8d1fa35e3054e4ce6da
ターゲット群 (星形成銀河),spec-564-52224-336,b2f40abfc8095c384d59e4435a1589a74c87a6b50d973a85adcaeee49fb18c13
ターゲット群 (星形成銀河),spec-566-52238-158,060637c36534fa96f8cd1fa854c1fa5f93bd5002844296ef91737c69425290e2
ターゲット群 (星形成銀河),spec-566-52238-473,1ed9f9e8c82944d78fc59ebf80d2af5c8cd2c088ac764fec888d3538e1fa6dff
ターゲット群 (星形成銀河),spec-584-52049-474,ac8e4961ffbc8fee6e11440049a46ecac9aea42a26e194d1d001e20b534e0714
ターゲット群 (星形成銀河),spec-635-52145-401,6c4d03015bec7ca3765fa029c0b73dfc72c3c04c19c904762aeb9c219c02f43c
ターゲット群 (星形成銀河),spec-732-52221-534,be78a3d39a8a1563c89f44875a91ddb37ff7e5237d64148bdfaedf7ea855f8d0
ターゲット群 (星形成銀河),spec-766-52247-549,65c60961c0a19c8195468c9929f1bb91e1dad463cbb9d7e4bc263a2f335bfc5f
ターゲット群 (星形成銀河),spec-832-52312-565,7a5e0f6494781f0dbb3b399894f857fd66a2df906ffb39204b5b91cb426d7166
ターゲット群 (星形成銀河),spec-858-52316-406,6c282adc936c6fd6cccd41ac9058e10f6a94c899b8fed7b40c228210cb8fa50a
ターゲット群 (星形成銀河),spec-859-52317-242,c44644da3d8a12f47e39aa30772ff6b24d5f775cde70b27ab1d70406cacc6a79
ターゲット群 (星形成銀河),spec-865-52323-483,5b29dc46e8081d5107f869f76b3af9ab00a11d2c6b95a636727a4e4d351c5a18
ターゲット群 (星形成銀河),spec-880-52367-331,40226bfc426ffd23d398f46db73f47b1b5adcf7699db97a9381985db0f6fb77e
ターゲット群 (星形成銀河),spec-898-52606-526,d0f4734fbbebc35544275810165cf1ca68220dd3f2b1b67b947046573824a0ee
ターゲット群 (星形成銀河),spec-898-52606-595,08a0783514317d44759e3fdc2861d34dc3dad47431cd2ae2b60861c34c2dc3bf
ターゲット群 (星形成銀河),spec-1045-52725-10,ff64a35acc16344d9123b70441fbef47a2efe96b177e73f6c11e95527841422f
ターゲット群 (星形成銀河),spec-1164-52674-393,c04fc41897556705d2883a7417574d735e58e8980b9bfd025b9af032030ae472
ターゲット群 (星形成銀河),spec-1172-52759-119,2dbd3cdae73795edba15fe812a6b3c7b9bb291c13e3b25d5125b28c7da848da0
ターゲット群 (星形成銀河),spec-1205-52670-318,2adc60267abb3eb2e41dfada9d37695da08db8de7fa6600937922cacfc7446ba
ターゲット群 (星形成銀河),spec-1582-52939-382,c3f14d1d1002862d4ee51ce8cb413bc0846580f08745b7855d060b3771bdae6f
ターゲット群 (星形成銀河),spec-1592-52990-123,4799875a515966179a1f5d46c89f4b6fe82ec633b38990152c6444f78ead9bde
ターゲット群 (星形成銀河),spec-1593-52991-144,458e24afcc3fa936a22adeca6a638305dc3a45216e3ae36ce33b5ae204684e65
ターゲット群 (星形成銀河),spec-1601-53115-398,2fddfc3e4a7401f7c4f526a4e037962f8ea58a1fdf0763b94169241964ec4b50
ターゲット群 (星形成銀河),spec-1602-53117-327,4bb43d11f20b2b479c310c045a5470617af82d6e9dd108504904b5930cc5ee52
ターゲット群 (星形成銀河),spec-1673-53462-116,f82c3215934ec50b0616e98bfe432553bacb7745b103452d2a1932037b251594
ターゲット群 (星形成銀河),spec-1674-53464-423,d09c0613ef7462187237095e7d40074b4368da595d32bbd215adc9cc82fb2933
ターゲット群 (星形成銀河),spec-1709-53533-337,abff668ab9fda0119af0f22c62bd91de36316aab4afd9ed2911444984550e9fa
ターゲット群 (星形成銀河),spec-1786-54450-462,15d60ad2e869bfd0170d0c4ece4db74aa2494008703a0b3c07fe9686bcbed10e
ターゲット群 (星形成銀河),spec-1786-54450-498,7f697c547fe2e8fe8e35eb937b35c29e128eb6fb4cdd5c0a46f4f3f96bdb4e52
ターゲット群 (星形成銀河),spec-1812-53795-187,17e310fb3c996b6c192f9b21e9558b867cd70ee05a6330eee3f6d84b3989f149
ターゲット群 (星形成銀河),spec-1873-54437-288,9fbafc58df87211ce7fd99717864b453e6fac6fe8f239d9f4ed2d4057b46e76a
ターゲット群 (星形成銀河),spec-1873-54437-344,2639d8a0734d2bef16cad51ed432eabee7954902a65d0472bc67f47dc45831a1
ターゲット群 (星形成銀河),spec-1930-53347-231,4ea696d5587c112e34ea4aee1361843e8ede27ea131e8ee27d3a3feed0975433
ターゲット群 (星形成銀河),spec-1934-53357-599,386c622abe9e0f6753dd22f0d64b21b4494b242faa983a55c189a49b83fb6770
ターゲット群 (星形成銀河),spec-1937-53388-555,d0169c8a92b1e317a78dd32accc848fd29d59a5653868bc70aba39906f9fc1ca
ターゲット群 (星形成銀河),spec-1993-53762-415,85d3e772f557cda8a684569bb6fd5c5e7e37e84baa5e576c21ec0e5b21ca572e
ターゲット群 (星形成銀河),spec-2030-53499-279,7195658f820267adf7f1c5e550cc4814095a0bac75f9c4315bcf382a35466058
ターゲット群 (星形成銀河),spec-2091-53447-589,03c8c11ea28caa05e3267d0c2349116d60058998b224046c4f6aafe28df5d23b
ターゲット群 (星形成銀河),spec-2101-53858-619,5c01cc40b2b22bf3529624b9728705a42f25c65ae906b0ab166b9d092ca1ded4
ターゲット群 (星形成銀河),spec-2246-53767-3,aa1b7e9e8ff16b3011fe27ae8096795e6568f6d5911f5f9250c8b5441479cb3b
ターゲット群 (星形成銀河),spec-2273-53709-572,3793dc91af35652f46e8a572668edbfc4e105597d52d99af47e82fc897c8d4d3
ターゲット群 (星形成銀河),spec-2290-53727-598,aef17089dbf9cc34c74d089bac1a029a6210f9e3b4fb91ef73216172e4f9cef5
ターゲット群 (星形成銀河),spec-2290-53727-627,b2ae27741c375eac944c89dc8833ebd45d6cedc4645b9ca7b26427ec4fd18d3e
ターゲット群 (星形成銀河),spec-2363-53763-596,359d5be1479d563cbd15f94720a8633daa41b92d8d7b7507f0a913f892496fab
ターゲット群 (星形成銀河),spec-2367-53763-156,0daaef1b9b4063af21153cc61a24c3615c4f1dceccfa03a0e6aeece9a8b50103
ターゲット群 (星形成銀河),spec-2585-54097-630,a5565616260c2f7cda136d24c8f488e9ba95159ac4b9decb1aeddaa07a7c8008
ターゲット群 (星形成銀河),spec-2642-54232-98,f27e0a9442b989304a660c409fb8d8aaf82b9d4e6efa23bc19536c52fc3c1731
ターゲット群 (星形成銀河),spec-2654-54231-14,a3799770bc24fc3e9e77e6337d8e0874405dbe3eff80d68efc6a990f1c4b416c
ターゲット群 (星形成銀河),spec-2666-54230-401,2501a2dcf8be824c80841d45e62a1729dc05d383a6adbc7f486cefc277c5798e
ターゲット群 (星形成銀河),spec-2666-54230-418,a55a5b3e95b869792daee3c72ea896edf13091881f7d14a5b9cdbb0507bd2118
ターゲット群 (星形成銀河),spec-2742-54233-404,24ee8b4297b1db12e7893ded49189fad541d3c767b76a9314905cf025d1e61b7
ターゲット群 (星形成銀河),spec-2769-54527-501,6fd7e159b24a22b9a89fbd295cebf9297890e62144bc397e484288706be32ec8
ターゲット群 (星形成銀河),spec-3650-55244-392,43f9965e1ae08806d0c5a68a6cda22e761562b440b91664b4b102d883ed61a26
ターゲット群 (星形成銀河),spec-6009-56313-642,d2e960ba648f99dcfc790ad545114527180cb301e7c2e86fbeaa12f777ded680
ターゲット群 (星形成銀河),spec-6698-56637-24,3eb40acfb6cf96914f60ae1b77f68ba665b67f46326ac8992ba41e8d1633ff3f
ターゲット群 (星形成銀河),spec-267-51608-329,a4dcecfd663c76a75c7dc31633c51fdc0f1bfe6769f99f74535f9f479574d92e
ターゲット群 (星形成銀河),spec-279-51984-100,818d39dc5a377b7593325b8fabba005dd2c252a112c004329c752dec35ea9052
ターゲット群 (星形成銀河),spec-328-52282-558,ae903bfa6486c7d687c1e0fe21339ff9d6be557cc4018a476a7626bada633130
ターゲット群 (星形成銀河),spec-352-51694-581,fd0d08c004aef6418235b1e8d971d7b31383346871409d4310d5e02252add953
ターゲット群 (星形成銀河),spec-371-52078-619,b739ee0d1e844c6b7afe50d921d3dea9ff74abbf23062459f7023c993595b09b
ターゲット群 (星形成銀河),spec-402-51793-625,3320bfe7fbf533121636f9a52f21675e6c65756930f782a1c927c461f85a7ac4
